,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Scott Crosby,APPATHON@HCC - Fall 2020,ZOOHACKATHON VIETNAM 2021,Indigitous #HACK @ Texas 2020,Earth Hacks x Ecode Environmental Hackathon ,GirlCode Hackathon
Miguel Allen,Hack This Fall 2.0,HackFit,NewHacks 2022,HackHolyoke 2021,Hack Education 
Tim Ward,API World Hackathon 2022,Hackadtech - open hackathon by AdTech Holding,Bitcoin Hackathon for MFI & Education,Hopeathon Hawaii Has Been Cancelled Due to COVID,Hacks for Humanity
Melissa Osborne,KuriusHacks: Christmas Edition 2021,Ultra Uniq NFT PFP Hackathon,Metaverso Hackathon,Theta Hackathon Q3 2021,TABConf
Amy Adams,PropTech Challenge - presented by REBNY,SF Global Progcomp,Torus 4 Everyone,NextStep,2020 Facebook Developer Circles Community Challenge
Heather Fox,Tech Takes On Mental Health Hackathon,Hacks of Kindness,BioMedEngX,NEXT CREATE-A-THON,Codestellation 2020
Joyce Young,MataHacks 2020,Devpost is a global,HubSpot Themes Challenge 2020,HackMIT 2020,Agora.io HolidayHack 2018
Jennifer Singh,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Donald Bruce,HackOnLisk2,MLDA Deep Learning Week 2021 Hackathon,DATAnalyze 2021,LEC Hacks 2023,Sunflower Hackathon
Joyce Watson,API World Hackathon 2022,Liquid Hacks 2.0,HackTable2020,Hack the Valley 7,Technica 2021
Kyle Young,IvyHacks: First Ivy League Hackathon,Med-Tech Hackathon,FHS.hacks(),Reconnect-Ed,Vivid Hacks RICI
Jessica Bryant,RMRKable Hacktoberfest,Miami Buildathon,SF Global Progcomp,Legend Hacks,Automate for Good
Tyler Holland,MLH Coding Challenge,Twitch Dev Jam 2019,WebWonders Hackfest,TiE University APP-A-THON 2022,CPES Hack in Scratch 2022
Matthew Barnes,Google’s Immersive Geospatial Challenge,HackHolyoke 2021,ClockHacks,The GoldenHack,NewHacks 2022
Jeremy Roy,SyntHacks II,API 2019 Hackathon,HackATL 2020,HP SCDS 2019 Hackathon. La España vacia,PharmaHacks 2019
Karen Miles,DevFest GDG Algiers 2k19,Start Green Hackathon 2020,Hackathon Bojonegoro,12th Named Data Networking (NDN) Hackathon,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0
Martha Clark,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Russell Turner,Google’s Immersive Geospatial Challenge,1st PHYSICS Hackathon,Hack-on-chain,KuriusHacks: Christmas Edition 2021,DandyHacks'22
Matthew Rice,API World Hackathon 2022,NOVATHON,Web3 Stack Hack,Snap Kit Developer Challenge 2020,Slimplicity: Slim.AI Hackathon
Kayla Robinson,Cybersecurity Hackathon- Secure Kenya,Hack the Valley 7,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,CS Week 3.0 Hackathon,RISE 2022 - Growing Healthy Communities
Allison Mendoza,FDD Dart and Flutter Student Hackathon,Appathon@HCC - Spring 2021,Accessibility for All: Hacking for an Inclusive Future,Digital EduHack South Asia 2021,HackTCNJ 2021
Justin Young,API World Hackathon 2022,Metis Ethereum Hackathon,HackTX 2022,Hack the Valley 7,Technica 2021
Stephanie Johnson,Disrupt Puerto Rico Hackathon,AI Blockchain,"CryptoChicks Blockchain and AI Hackathon and Conference 2020 in Toronto, Canada",Haryana Steelers Hackathon,HarvestHacks Bay Area
Sydney Fleming,UX Scene Designathon 2022,WAI Global Responsible AI Hackathon,UGAHacks Makeathon,Hack Spartan 2023,Girls In Tech Hack
Martin Brown,UofA Blueprint Hackathon,RMRKable Hacktoberfest,PayString BlockSprint Hackathon,Hack to the Future 2020,Cosmos HackAtom VI 
Matthew Maldonado,Civiso Designathon 2022,RALLYtoUS + VetsinTech Online Hackathon,Nokathon ,DigiEduHack Barcelona,GovTech Hackathon 2021
Kevin Rich,Midnight Hacks,Data Hackfest,hackBCA VI,"Motor City Hack on Mobility, Health and Well-being",Lehman Hacks
Maria Robinson,GPT Plugins (S)Hackathon,HACK FOR A CAUSE,D3 Hackathon,EthiopiaHacks v9,Hajj and Umrah Challenge - تحدي الحج والعمرة
Brittany Davenport,Horror Hacks 2023,Design-a-thon,Hack Dearborn: Disrupt Reality,BlockHack Hackathon,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)"
Felicia Turner,Hack APAC - “The New Normal is Yours!”,HackAttack,MarinaHacks 2022,SharkHack's MiniHack,Hack Upstate XV
Dana Irwin,API World Hackathon 2022,Oxfam/IFRAD Hackathon,Bitcoin Bankathon,Cosmos HackAtom V,The Freshworks Refresh App Challenge 
Joshua Gregory,API World Hackathon 2022,Inspire2Dev Summer Hackathon,Hack-A-League,Hydra Hacks III,Defense Hackathon SRM 
Thomas Deleon,Google’s Immersive Geospatial Challenge,Patriot_Hacks,CodeQuantum,Future of Forestry Hackathon,The Robots Are Coming
Jeremiah Castro,HackUTD VIII,TonkaHacks 2022,Ideathon , Luna Hacks 2.0,DEEDhacks 2023
Raymond Stevenson,Interledger Hackathon - ILP Summit 2023 Edition,Ink and Metal | STEM Olympics,Fintech Collab Hack: TIAA Challenge,Campus Hack,D3 Hackathon
Richard Butler,Cybersecurity Hackathon- Secure Kenya,Step into STEM,FemmeHacks 2023,Global Power Rankings Hackathon,Au{T9}umn Hacks
Sean Torres,API World Hackathon 2022,CodeUp-Hack-22,MetroHacks 2021,BostonHacks 2022,The Metaverse Healthcare Hackathon
Monica Harris,HackEPS 2021,Zoohackathon 2019 - Botswana,San Diego Zoohackathon 2019,HackPrinceton,QBHacks 2019
Christopher Salazar,"AutoGPT Beat, Build, Break Hackathon",BASCII Applied Artificial Intelligence Final Project,Datathon,PyTorch Annual Hackathon 2021,Considition 2020 - smart & sustainable city development
Thomas Harris,TIQC x Code Resolve x Girls Who Code Hacks,Design~wave,Creations 2.0,SLAC WiSTEM Program Project Competition,Outsourcing Accounting Services
Peter Franklin,API World Hackathon 2022,Project Program F22,AI HackTrack at LiU,Sales Kickoff - International Hackathon,Sales Kickoff - Americas' Hackathon
Aaron Pope,HackTCNJ 2021,VR Summit Hackathon,AR/VR Africa 2022 Metathon | Ethiopia,HackmaFest,2023 PICO Dev Jam
Joseph Flores,6ixBits,Pitt Challenge 2020,Hacking 4 Humanity COVID19,Cutie Hack 2020: Stay At Home,HackOnLisk2
Samantha Powell,2020 Facebook Developer Circles Community Challenge,AEC Hackathon Online V.1.1,Mechathon at Kathmandu University,monday.com Apps Marketplace Challenge: solutions for teams ,HackYourPath3.0
Anna Williams,Abbey Road Hack-Power Of Immersion  9/10 Nov,Alexa Skills Challenge: In-Skill Purchasing,AR VR FEST HACKATHON,STEM JAM,Metaverso Hackathon
Veronica David,Courier Hacks: Feature Focus,Hacks4Health,The Hackathon 2021,HackQC 2022,hackTAMS Fall 2021
Lauren Cole,API World Hackathon 2022,Global Hack Week December Day 4,Hack to the Future,Privacy4Web3 Hackathon,Pega Community Hackathon 2022
Lisa Roy,API World Hackathon 2022,Fintech Collab Hack: TIAA Challenge,The Fidelity Hackathon,Devfest'22 Algiers,Startup Monterey Bay Hackathon
Mary Parker,API World Hackathon 2022,WyoHackathon 2020,New Delhi Zoohackathon ,Hack At Home,Patriot_Hacks
Patrick Acosta Jr.,WyoHackathon 2020,Hackathon Colombia,What The Hack 2020: Environment Edition,The Fidelity Hackathon,Virtual COBRE Overdose Hackathon
Daniel Gonzalez,API World Hackathon 2022,Hack the Change 2022,BlockHack 2023,HackTX 2022,Filipino Startup Incubator for Social Good
Anthony Vazquez,MaHack,WQCC x IBM Quantum Qiskit Fall Fest Hackathon,QuackHacks Spring 2023,Ultra Uniq NFT PFP Hackathon,Miami Buildathon
Carlos Miles,2022 AMD All Girl Online international Hackathon,Microsoft Azure Innovation Challenge ,The Freshworks Refresh App Challenge ,CUNY Hackathon Fall 2021,HackUTD IX 
Erin Daniel,Appathon@HCC - Spring 2021,Digital EduHack South Asia 2021,Accessibility for All: Hacking for an Inclusive Future,TiE University APP-A-THON 2022,Climathon #1: Expanding NYC 
William Jones,"AutoGPT Beat, Build, Break Hackathon",BASCII Applied Artificial Intelligence Final Project,Datathon,PyTorch Annual Hackathon 2021,Considition 2020 - smart & sustainable city development
Marissa Sutton,Hack Upstate XV,TiE University APP-A-THON 2022,Appathon@HCC - Spring 2021,HackAttack,Climathon #1: Expanding NYC 
Zachary Miller,Google’s Immersive Geospatial Challenge,Girls Hoo Hack 2022,HackTheMidlands 7.0,Global Hack Week December Day 7,HackHolyoke 2021
Michael Gordon,AT&T 5G Hackathon,"""Hello 8th Wall"" Workshop in Paris!",Hackerslack,Dashathon,AT&T Next Gen TV Hackathon
Ryan Allison,Google’s Immersive Geospatial Challenge,Hack-on-chain,The Fidelity Hackathon,theCoderSchool Fall 2022 Hackathon,BusinessMeetsTech IdeaHack! 2022
Brian Morgan,2021 Calgary Youth Hackathon,2021 TeenTechSF Civic Hackathon - Devpost,HACK-O-TOPIA,GitX 2022 - PSG Tech,FEMTech Bootcamp
Helen Walter,TigerHacks,Dementia - Our Common Challenge,GPT Plugins (S)Hackathon,Helyx India Hacks,"Sunshine State Hackathon, Florida, Oct.21-23"
Preston Baker,MuleSoft Hackathon 2021,Modzy AI Hackathon,SDaCathon 2022 - Hack the Construction ,AI Hacks,HackARG
Dustin Martinez,API World Hackathon 2022,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,Hackerslack,Inspire2Dev Summer Hackathon,Hack-A-League
Alexandria Jones,API World Hackathon 2022,Nokathon ,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,D3 Hackathon,DevFest Eket 2023 - Ecosolutions
Caroline Holt,HackeRam,Hacks for Humanity,CodeUp-Hack-22,NASA Space Apps Challenge Mountain View,WiE Hackathon 2022
John Mcgrath,Hack At Home,NOVATHON,AI Art Competition Sydney Australia,CodeFest'21,EZHacks
Danielle Duncan,5G Innovation Hackathon,Intelligent Innovators Hackathon 2022,Fintech Collab Hack: TIAA Challenge,HackUiet 2021,HackED Beta 2022
Sheila Johnson,TigerHacks,2021 Calgary Youth Hackathon,Hack It Out,Snap Developer Challenge 2021,Zoohackathon 2019 - Vienna
Victor Bell,Call for Startups,HackLBS,Snap Kit Developer Challenge 2020,Snap Developer Challenge 2021,UX Scene Designathon 2022
Emily May,ForgeMcGill ,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0,DivHacks,HackUiet 2021,Opportunity Hack 2021
Nathan Li,Cipher | Finals | UNNAT 2022,"Cornucodia ($17k+ in prizes, internship opportunities)",Haryana Steelers Hackathon,Outside LLMs,Future of Forestry Hackathon
Chase Snyder,MaHack,Modzy AI Hackathon,FactHack 2023,SDaCathon 2022 - Hack the Construction ,DeveloperWeek Enterprise 2022 Hackathon
Nancy Baker,API World Hackathon 2022,theCoderSchool Fall 2022 Hackathon,Codegeist 2022,Hack to the Future 2020,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition
Kyle Conley,API World Hackathon 2022,NOVATHON,Girls in Tech NYC ClimateHack 2023,Civiso Designathon 2022,Climathon Houston 2021
Christopher Avila,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Robin Hickman,RISE 2022 - Growing Healthy Communities,Quackathon 2022,Hacks for Humanity 2022,Ideate,HELPFUL HACKATHON: Tackling Climate Change 
Robert Hanson,API World Hackathon 2022,OPTIV x SSF CYBER SECURITY 2023,Hawaii Annual Code Challenge 2021,What The Hack 2022,#PayAsYouKnow Hackathon
Alyssa Wilkins,API World Hackathon 2022,Code Green,CrimsonCode Hackathon,CodeRED Odyssey,Cisco Meraki Global Hackathon 2022
Cynthia Morris,Post Covid Hack 2020,TigerHacks,FDD Dart and Flutter Student Hackathon,Hack Brooklyn 2021,INNOV8 Hackathon 2023
Alexis Rogers,Hack It Out,Hacks4Health,Civiso Designathon 2022,Au{T9}umn Hacks,HackLBS
Juan Jenkins,TechTogether Boston,Accessibility for All: Hacking for an Inclusive Future,HackWise 2020,[CANCELED] PITBU! Leveraging Tech for Social and Work Immigration,HackTheMidlands 6.0
Alexis Mills,API World Hackathon 2022,Google Maps Platform Hackathon,Hack4Earth,Foursquare Places Hackathon,Garuda Hacks v2.0
Stephanie Lewis,API World Hackathon 2022,IvyHacks: First Ivy League Hackathon,Foursquare Places Hackathon,Garuda Hacks v2.0,Blockstack Can't Be Evil Contest: Part 3
Robert Wells,API World Hackathon 2022,VandyHacks IX,SchoolHacks,Hack the Change 2021,LunarHacks 2022
Anthony Zuniga,Google’s Immersive Geospatial Challenge,HackUIowa '23,Cybersecurity Hackathon- Secure Kenya,Sales Kickoff - Americas' Hackathon,UPitch 2019
Kenneth Pham,2020 Facebook Developer Circles Community Challenge,AEC Hackathon Online V.1.1,Mechathon at Kathmandu University,monday.com Apps Marketplace Challenge: solutions for teams ,HackYourPath3.0
Amanda Martinez,Technica 2022,WebJam NYC,Pitt Challenge 2022,Hack the Valley 8,Innovate Hacks
Tracy Stevens,SWC Hacks,Miami Buildathon,HackLBS,MaHack,AUIB Hackathon 
James Gray,Spooky Software Hackathon,hackUMBC Fall 2020,Hackathon Deacero 2020,YB Hackathon,Red Bull AdrenaLAN 2019
John Larson,API World Hackathon 2022,Automate for Good,Technica 2022,EduLearn Hackathon(✧Free Goodies for All!✧),AT&T Next Gen TV Hackathon
Patrick Cohen,API World Hackathon 2022,Hacking 4 Humanity COVID19,Hack-A-League,Hydra Hacks III,Defense Hackathon SRM 
Christopher Martinez,Finclusion Hackathon,HackEPS 2021,All Inclusive Hacks,A-Z Hacks,Turn Language into Action: A Natural Language Hackathon for Good
Amy Sanford,Hack It Out,Intelligent Innovators Hackathon 2022,Ideate,Hack Your Path 4.0,The Hackathon 2021
Loretta Torres,Web3 Hackathon Puerto Rico 2.0,Appathon@HCC - Spring 2021,Digital EduHack South Asia 2021,Climathon #1: Expanding NYC ,Hackathon Bojonegoro
Cynthia Richards,API World Hackathon 2022,Hackadtech - open hackathon by AdTech Holding,The GoldenHack,Stellar Meridian Hackathon 2020,DevFest Eket 2023 - Ecosolutions
Steven Maynard,API World Hackathon 2022,YB Hackathon,UPitch 2019,SFU Engineering Competition 2021,Prototypical
Sally Cobb,API World Hackathon 2022,INRIX Hack 2023,FDD Dart and Flutter Student Hackathon,5G Edge Computing Challenge with AWS,INRIX Hack
Ashley Tyler,QuackHacks Spring 2023,Snap Spotlight Lensathon,Pinnacle 2021,HACK4WESTBENGAL&UTTARAKHAND,DurHack 2022
Katie Brennan,SFU Engineering Competition 2021,SLAC WiSTEM Program Project Competition,Cloud Native Hackathon,Kent Hack Enough 2022,RESEARCH EXPO INDUSTRIAL
Alyssa Lara,Google’s Immersive Geospatial Challenge,Local Hack Day: Learn 2022,Opportunity Hack 2023 - Virtual,CrowdHacks,YCP Hacks 2022
Mr. Gary Larson,API World Hackathon 2022,Miami Buildathon,San Diego Zoohackathon 2019,Red Bull AdrenaLAN 2019,#HACK for Missions: Chicago | Orlando | Phoenix
Brittany Mason,CodeQuantum,Hack Spartan 2023,HackEPS 2021,Ideate,Pitt Challenge 2022
Kevin Mullen,Hacking for Humanity : Health Systems of The New Normal,FemmeHacks 2023,Social Justice Hackathon Philadelphia,Little Apple Hacks,Midnight Hacks
Christopher Foster,Hacking for Humanity - Tech para la educación sexual,HELPFUL HACKATHON: Tackling Climate Change ,Dementia - Our Common Challenge,Web3 Hackathon Puerto Rico 2.0,Clarkathon 2023
Michael Petersen,DojoHacks2020,Hack to the Future,Chainlink Fall Hackathon 2021,The GoldenHack,The ELC Virtual Hackathon
Michael Hogan,Carolina Hacks,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM,Zoohackathon 2019 - Vienna,Smart Aurangabad Hackathon ,MadurAIOpenTecHackathon
Grace Adams,TeenHacks LI - Fall 2019,Deis Hacks 2020,Civic Hackathon 2020,Pitt Challenge 2019,Product Buds Protothon
Elizabeth Brady,Fintech Collab Hack: TIAA Challenge,TAMU Datathon 2020,Pitt Challenge 2021,HackRPI Fall 2020,Hackathon BDC Montréal 2020
Morgan Nguyen,Hack for the World,TEDAI Multimodal Hackathon (23 Labs),Datathon FME - The Barcelona Challenge,#TFWorld TF 2.0 Challenge!,Girls in Tech Virtual Hackathon: Fall 2020 Challenge
Timothy Hudson,API World Hackathon 2022,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,Hackerslack,Inspire2Dev Summer Hackathon,AR VR FEST HACKATHON
Jonathan Ward,FEMHacks 2.0,UGAHacks Makeathon II,ProjectCSGirls Fremont 2021 Hackathon,Horror Hacks 2023,CodeUp-Hack-22
Kristen Lopez,Google’s Immersive Geospatial Challenge,TechTogether Seattle ,Kiva Fall 2021 Hackathon,PoweringSTEMHacks2,Hacks for Humanity 2022
Timothy Moore,API World Hackathon 2022,INRIX Hack 2022,Liquid Hacks 3.0,ROBOHackIT 2022,Patriot_Hacks
Jennifer Diaz,Catalyst,Rising Waters - FEMA Hackathon for Flood Risk & Insurance,Vivid Hacks RICI,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,Zoohackathon 2019 - Vienna
Jessica Lopez,API World Hackathon 2022,Slimplicity: Slim.AI Hackathon,Build The World with Dolby.io Hackathon,Turn Language into Action: A Natural Language Hackathon for Good,SingleStore Database Hackathon 
James Aguilar,API World Hackathon 2022,HackUIowa '23,Technica 2022,HackOnLisk2,TAMU Datathon 2020
Jodi Blackburn,Utonhack 2021 / Clover ,BlockHack Global FE 2022,MLH Coding Challenge,HackQC 2022,Microsoft Student Summit Africa 2021 Hackathon
James Marsh,YB Hackathon,Hajjathon,Legend Hacks,Data Natives Hackathon ,IEEE Open Hacks
Zachary Knight,API World Hackathon 2022,CodeQuantum,Horror Hacks,Codealyst x Leigh Girls Who Code Hackathon,SunflowerHack2021
Hannah Miller,Google’s Immersive Geospatial Challenge,SMU LIT Hackathon 2022,IEEE NJIT Byte into Hardware,Hackathon Deacero 2020,Hack for the World
Harold Schneider,Girls Hoo Hack Hackathon,Hack-A-League,The Climate Change-Makers Challenge: 2022,Tech Takes On Mental Health Hackathon,WyoHackathon 2020
Glenn Taylor,HACK4ODISHA,DevFest Algiers 2021 Hackathon,ClockHacks,AWS Health AI Hackathon,HubIT Online-Designathon 
Amanda Shea,API World Hackathon 2022,Hackadtech - open hackathon by AdTech Holding,AI Games,STEM JAM,Zoohackathon 2019 - Botswana
Scott Steele,HackBlue Cyber Hackathon,Vivid Hacks,Amplitude London Hackathon,Inspire2Dev Summer Hackathon,"Cornucodia ($17k+ in prizes, internship opportunities)"
Kelly Stephens,API World Hackathon 2022,Cutie Hack 2020: Stay At Home,Post Covid Hack 2020,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021
Caitlin Wright,Random Power Hackathon,Girls in Tech Mental Health for All Hackathon,Slimplicity: Slim.AI Hackathon,Miami Buildathon,Fitch 2022 Codeathon for Education
Sabrina Bennett,Ensenada Hackathon 2022,YouthCodeX,ForgeMcGill ,12th Named Data Networking (NDN) Hackathon,Devfest Ikot-Ekpene 2022
Alyssa Massey,Tigre Hacks,ProjectCSGirls Fremont 2021 Hackathon,TABConf,LEC Hacks 2023,Hack the Game of GO
Amanda Chavez,NSBE Region 6 Fall Regional Conference Ideathon sponsored by Sledgehammer Games,XRPL Hackathon: NFT Launch Party,Hack-A-League,NASA Space Apps Challenge Mountain View,HappyHacks II
Miranda Boyle,TOHacks AR/VR Challenge,Automate for Good,The Global Hackathon - LA Blockchain Week ,2021 Calgary Youth Hackathon,hackMISSO
Thomas Cardenas,API World Hackathon 2022,Pega Community Hackathon 2022,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021,Cosmos HackAtom VI 
Kevin Bird,Beyond Code,TVCOG Smart Cities Hackathon,2019 SBC All Teens Hack,Cisco Meraki Global Hackathon 2022,Start Green Hackathon 2020
Alexandra Kramer,Random Power Hackathon,12th Named Data Networking (NDN) Hackathon,IOT & Security Blockchain Hackathon #T-LabsHACK ,Hack Your Path 4.0,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon 
Martin Adams,TIQC x Code Resolve x Girls Who Code Hacks,Celo's Make Crypto Mobile Hackathon,CodeUp-Hack-22,CodeDAO Web3 Hackathon,Qubit 24Hr Hackathon
Jennifer Jackson,API World Hackathon 2022,AI Hacks,FinHack 2,Hack Spartan 2023,jacobsHack!2022
Ronald King,Hacking for Humanity : Health Systems of The New Normal,PlutoHacks,TigerHacks,Hack The Heights 5,HackOnLisk2
Leslie Moran,Google’s Immersive Geospatial Challenge,W5 Hackacomp,Castlethon 3.0,Hackathon 2k22,hackMISSO
Taylor Macias,API World Hackathon 2022,CUNY Hackathon Fall 2021,DeveloperWeek Austin 2021 Hackathon,Hackathon Bojonegoro,Zoohackathon 2020 Asia
Toni Miranda,MOBI Grand Challenge Phase II - Citopia,jacobsHack!2022,Code for Change,PayString BlockSprint Hackathon,Stellar Meridian Hackathon 2020
Jonathan Stanton,jacobsHack!2022,Hack This Fall 2.0,Sales Kickoff - Americas' Hackathon,Sales Kickoff - International Hackathon,Prototypical
Raymond Greene,Hack the Bubble - ARCADE,GDSC Game Jam,NightHacks,The Raccoons 2022,RidgeHacks 2022
Sandra Hall,Hacking for Humanity - Tech para la inclusión financiera,DemonHacks,SkyHack 3.0,SkyHack 2023,Hacks for Humanity
Kathleen Smith,API World Hackathon 2022,Mixed Reality Challenge: StereoKit (C# and OpenXR),EduLearn Hackathon(✧Free Goodies for All!✧),Technica 2022,Microsoft US Hack for Wellness
